TargetID	DrugID	Highest_status	MOA
T08856	D0T9HG	Discontinued in Phase 2	Inhibitor
T68251	D0T9HG	Discontinued in Phase 2	Inhibitor
T86702	D0T9HG	Discontinued in Phase 2	Inhibitor
T54156	D0T9HG	Discontinued in Phase 2	Inhibitor
T03500	D0T9HG	Discontinued in Phase 2	Inhibitor
T34296	D0T9HG	Discontinued in Phase 2	Inhibitor
T48703	D0H3JF	Discontinued in Phase 2	Modulator
T84316	D06FSC	Discontinued in Phase 2	Inhibitor
T58921	D02RAU	Discontinued in Phase 2	Modulator
T86591	D02RAU	Discontinued in Phase 2	Modulator
T25258	D02VJY	Discontinued in Phase 2	Modulator
T10670	D07SWU	Discontinued in Phase 2	Modulator
T27944	D07SWU	Discontinued in Phase 2	Modulator
T62820	D09RON	Discontinued in Phase 2	Modulator
T71192	D09RON	Discontinued in Phase 2	Modulator
T70176	D0NV9O	Discontinued in Phase 2	Inhibitor
T44458	D0NV9O	Discontinued in Phase 2	Inhibitor
T85799	D0NV9O	Discontinued in Phase 2	Inhibitor
T49898	D0NV9O	Discontinued in Phase 2	Inhibitor
T31406	D05CDF	Patented	Inhibitor
T04902	D0NJ1A	Discontinued in Phase 3	Inhibitor
T86385	D0NJ1A	Discontinued in Phase 3	Inhibitor
T51408	D0E8CZ	Discontinued in Phase 3	Agonist
T83369	D03PJP	Discontinued in Phase 3	Modulator
T44068	D0JP4H	Withdrawn from market	Antagonist
T89534	D0X0KJ	Withdrawn from market	Binder
T83011	D06QRW	Patented	Inhibitor
T62151	D06QRW	Patented	Inhibitor
T73215	D0NL9N	Clinical trial	CAR-T-Cell-Therapy(Dual specific)
T66693	D09ZGK	Clinical trial	CAR-T-Cell-Therapy
T66693	D0N8NT	Clinical trial	CAR-T-Cell-Therapy
T66693	D0LP1L	Clinical trial	CAR-T-Cell-Therapy
T66693	D0PF1A	Clinical trial	CAR-T-Cell-Therapy
T71164	D0RI8E	Clinical trial	CAR-T-Cell-Therapy
T56365	D0NL9N	Clinical trial	CAR-T-Cell-Therapy(Dual specific)
T25726	D09RPP	Clinical trial	CAR-T-Cell-Therapy
T25726	D0P1BM	Clinical trial	CAR-T-Cell-Therapy
T47863	D0T8DD	Clinical trial	CAR-T-Cell-Therapy
T56365	D05FZM	Clinical trial	CAR-T-Cell-Therapy
T10877	D0V6WU	Clinical trial	CAR-T-Cell-Therapy
T13017	D0T6NG	Clinical trial	CAR-T-Cell-Therapy
T56365	D09VYT	Clinical trial	CAR-T-Cell-Therapy
T56365	D0U5NO	Clinical trial	CAR-T-Cell-Therapy
T56365	D09IAN	Clinical trial	CAR-T-Cell-Therapy
T56365	D0B8BZ	Clinical trial	CAR-T-Cell-Therapy
T56365	D04PDI	Clinical trial	CAR-T-Cell-Therapy
T56365	D01JCT	Clinical trial	CAR-T-Cell-Therapy
T65883	D06CWZ	Clinical trial	CAR-T-Cell-Therapy
T87108	D04WZL	Clinical trial	CAR-T-Cell-Therapy
T86323	D0V6WW	Clinical trial	CAR-T-Cell-Therapy
T14912	D0I5DP	Phase 1	Inhibitor
T46360	D09AOO	Phase 1	Agonist
T69912	D05GZD	Phase 1	Inhibitor
